date,corn_br,corn_usd,br_production,br_plateau_area,br_productivity,dolar
2013-01-02 00:00:00,34.12,690.75,72.1,14.7,4.9,2.0452
2013-01-03 00:00:00,33.88,689.25,72.1,14.7,4.9,2.0459
2013-01-04 00:00:00,33.7,680.25,72.1,14.7,4.9,2.0347
2013-01-07 00:00:00,33.54,685.5,72.1,14.7,4.9,2.0267
2013-01-08 00:00:00,33.38,688.75,72.1,14.7,4.9,2.0415
2013-01-09 00:00:00,33.16,694.25,72.1,14.7,4.9,2.0381
2013-01-10 00:00:00,32.94,698.75,72.1,14.7,4.9,2.029
2013-01-11 00:00:00,32.68,708.75,72.1,14.7,4.9,2.0332
2013-01-14 00:00:00,32.68,724.0,72.1,14.7,4.9,2.0318
2013-01-15 00:00:00,32.45,730.5,72.1,14.7,4.9,2.0358
2013-01-16 00:00:00,32.42,731.25,72.1,14.7,4.9,2.0424
2013-01-17 00:00:00,32.58,724.5,72.1,14.7,4.9,2.0385
2013-01-18 00:00:00,32.6,727.5,72.1,14.7,4.9,2.0408
2013-01-22 00:00:00,32.86,728.5,72.1,14.7,4.9,2.0429
2013-01-23 00:00:00,32.73,720.75,72.1,14.7,4.9,2.0354
2013-01-24 00:00:00,32.5,724.25,72.1,14.7,4.9,2.03
2013-01-25 00:00:00,32.19,720.75,72.1,14.7,4.9,2.03
2013-01-28 00:00:00,32.03,729.25,72.1,14.7,4.9,1.9958
2013-01-29 00:00:00,31.97,729.5,72.1,14.7,4.9,1.9859
2013-01-30 00:00:00,31.9,740.25,72.1,14.7,4.9,1.9914
2013-01-31 00:00:00,31.91,740.5,72.1,14.7,4.9,1.9908
2013-02-01 00:00:00,31.91,736.0,76.0,15.4,4.9,1.9878
2013-02-04 00:00:00,31.84,734.25,76.0,15.4,4.9,1.996
2013-02-05 00:00:00,32.1,729.0,76.0,15.4,4.9,1.9845
2013-02-06 00:00:00,32.27,722.5,76.0,15.4,4.9,1.9903
2013-02-07 00:00:00,32.53,710.75,76.0,15.4,4.9,1.9667
2013-02-08 00:00:00,32.61,709.0,76.0,15.4,4.9,1.9732
2013-02-13 00:00:00,32.87,695.5,76.0,15.4,4.9,1.9647
2013-02-14 00:00:00,32.8,694.75,76.0,15.4,4.9,1.9577
2013-02-15 00:00:00,32.34,698.75,76.0,15.4,4.9,1.9688
