date,corn_br,corn_usd,dolar,corn_br-1,corn_br-2,corn_br-3,max_corn_br-1,min_corn_br-1,open_corn_br-1,var_corn_br-1,vol_corn_br-1
2013-01-02 00:00:00,34.12,690.75,2.0452,,,,0,0,0,0,0
2013-01-03 00:00:00,33.88,689.25,2.0459,,34.12,,0,0,0,0,0
2013-01-04 00:00:00,33.7,680.25,2.0347,34.12,33.88,,0,0,0,0,0
2013-01-07 00:00:00,33.54,685.5,2.0267,33.88,33.7,34.12,0,0,0,0,0
2013-01-08 00:00:00,33.38,688.75,2.0415,33.7,33.54,33.88,0,0,0,0,0
2013-01-09 00:00:00,33.16,694.25,2.0381,33.54,33.38,33.7,0,0,0,0,0
2013-01-10 00:00:00,32.94,698.75,2.029,33.38,33.16,33.54,0,0,0,0,0
2013-01-11 00:00:00,32.68,708.75,2.0332,33.16,32.94,33.38,0,0,0,0,0
2013-01-14 00:00:00,32.68,724.0,2.0318,32.94,32.68,33.16,0,0,0,0,0
2013-01-15 00:00:00,32.45,730.5,2.0358,32.68,32.68,32.94,0,0,0,0,0
2013-01-16 00:00:00,32.42,731.25,2.0424,32.68,32.45,32.68,0,0,0,0,0
2013-01-17 00:00:00,32.58,724.5,2.0385,32.45,32.42,32.68,0,0,0,0,0
2013-01-18 00:00:00,32.6,727.5,2.0408,32.42,32.58,32.45,0,0,0,0,0
2013-01-21 00:00:00,32.37,,2.0418,32.58,32.6,32.42,0,0,0,0,0
2013-01-22 00:00:00,32.86,728.5,2.0429,32.6,32.37,32.58,0,0,0,0,0
2013-01-23 00:00:00,32.73,720.75,2.0354,32.37,32.86,32.6,0,0,0,0,0
2013-01-24 00:00:00,32.5,724.25,2.03,32.86,32.73,32.37,0,0,0,0,0
2013-01-25 00:00:00,32.19,720.75,2.03,32.73,32.5,32.86,0,0,0,0,0
2013-01-28 00:00:00,32.03,729.25,1.9958,32.5,32.19,32.73,0,0,0,0,0
2013-01-29 00:00:00,31.97,729.5,1.9859,32.19,32.03,32.5,0,0,0,0,0
2013-01-30 00:00:00,31.9,740.25,1.9914,32.03,31.97,32.19,0,0,0,0,0
2013-01-31 00:00:00,31.91,740.5,1.9908,31.97,31.9,32.03,0,0,0,0,0
2013-02-01 00:00:00,31.91,736.0,1.9878,31.9,31.91,31.97,0,0,0,0,0
2013-02-04 00:00:00,31.84,734.25,1.996,31.91,31.91,31.9,0,0,0,0,0
2013-02-05 00:00:00,32.1,729.0,1.9845,31.91,31.84,31.91,0,0,0,0,0
2013-02-06 00:00:00,32.27,722.5,1.9903,31.84,32.1,31.91,0,0,0,0,0
2013-02-07 00:00:00,32.53,710.75,1.9667,32.1,32.27,31.84,0,0,0,0,0
2013-02-08 00:00:00,32.61,709.0,1.9732,32.27,32.53,32.1,0,0,0,0,0
2013-02-13 00:00:00,32.87,695.5,1.9647,32.53,32.61,32.27,0,0,0,0,0
2013-02-14 00:00:00,32.8,694.75,1.9577,32.61,32.87,32.53,0,0,0,0,0
2013-02-15 00:00:00,32.34,698.75,1.9688,32.87,32.8,32.61,0,0,0,0,0
2013-02-18 00:00:00,32.3,,1.9634,32.8,32.34,32.87,0,0,0,0,0
2013-02-19 00:00:00,32.13,695.25,1.9543,32.34,32.3,32.8,0,0,0,0,0
2013-02-20 00:00:00,32.01,700.5,1.9611,32.3,32.13,32.34,0,0,0,0,0
2013-02-21 00:00:00,32.25,690.75,1.9735,32.13,32.01,32.3,0,0,0,0,0
2013-02-22 00:00:00,32.34,690.25,1.9727,32.01,32.25,32.13,0,0,0,0,0
2013-02-25 00:00:00,32.45,693.5,1.983,32.25,32.34,32.01,0,0,0,0,0
2013-02-26 00:00:00,32.51,705.0,1.9825,32.34,32.45,32.25,0,0,0,0,0
2013-02-27 00:00:00,32.53,709.5,1.9732,32.45,32.51,32.34,0,0,0,0,0
2013-02-28 00:00:00,32.38,719.5,1.9803,32.51,32.53,32.45,0,0,0,0,0
2013-03-01 00:00:00,32.23,724.25,1.9792,32.53,32.38,32.51,0,0,0,0,0
2013-03-04 00:00:00,32.35,723.0,1.9708,32.38,32.23,32.53,0,0,0,0,0
2013-03-05 00:00:00,32.19,732.0,1.9644,32.23,32.35,32.38,0,0,0,0,0
