date,corn_br,corn_br-1,corn_br-2,corn_br-3,max_corn_br-1,min_corn_br-1,open_corn_br-1,var_corn_br-1,vol_corn_br-1
2018-01-05 00:00:00,32.9,33.12,33.2,33.2,33.42,33.03,33.25,-0.24,1.44
2018-01-08 00:00:00,32.71,32.9,33.12,33.2,33.2,32.56,33.15,-0.66,0.57
2018-01-09 00:00:00,32.56,32.71,32.9,33.12,33.0,32.65,32.76,-0.58,0.7
2018-01-10 00:00:00,31.73,32.56,32.71,32.9,32.9,32.44,32.81,-0.46,1.29
2018-01-11 00:00:00,31.95,31.73,32.56,32.71,32.6,31.75,32.34,-2.55,1.67
2018-01-12 00:00:00,31.96,31.95,31.73,32.56,32.15,31.84,31.84,0.69,1.5
2018-01-15 00:00:00,32.55,31.96,31.95,31.73,32.1,31.88,31.92,0.03,1.4
2018-01-16 00:00:00,31.86,32.55,31.96,31.95,32.47,31.76,31.76,1.85,1.38
2018-01-17 00:00:00,32.2,31.86,32.55,31.96,32.2,31.8,32.2,-2.12,1.63
2018-01-18 00:00:00,32.63,32.2,31.86,32.55,32.41,31.68,31.82,1.07,3.04
2018-01-19 00:00:00,32.85,32.63,32.2,31.86,32.7,32.1,32.1,1.34,1.6
2018-01-22 00:00:00,33.18,32.85,32.63,32.2,33.04,32.56,32.6,0.67,1.7
2018-01-23 00:00:00,32.92,33.18,32.85,32.63,33.19,32.68,32.85,1.0,1.11
2018-01-24 00:00:00,32.87,32.92,33.18,32.85,33.33,32.83,33.18,-0.78,1.97
2018-01-26 00:00:00,32.65,32.87,32.92,33.18,33.01,32.7,32.82,-0.15,1.11
2018-01-29 00:00:00,33.2,32.65,32.87,32.92,32.93,32.54,32.85,-0.67,1.33
2018-01-30 00:00:00,33.0,33.2,32.65,32.87,33.21,32.61,32.62,1.68,1.02
2018-01-31 00:00:00,33.03,33.0,33.2,32.65,33.45,33.05,33.15,-0.6,2.04
2018-02-01 00:00:00,33.23,33.03,33.0,33.2,33.19,32.8,33.04,0.09,2.03
2018-02-02 00:00:00,33.26,33.23,33.03,33.0,33.35,33.1,33.13,0.61,1.0
2018-02-05 00:00:00,33.62,33.26,33.23,33.03,33.35,33.12,33.28,0.09,0.78
2018-02-06 00:00:00,33.72,33.62,33.26,33.23,33.65,33.21,33.29,1.08,2.13
2018-02-07 00:00:00,33.95,33.72,33.62,33.26,33.85,33.5,33.6,0.3,1.49
2018-02-08 00:00:00,34.14,33.95,33.72,33.62,34.03,33.65,33.69,0.68,2.18
2018-02-09 00:00:00,33.77,34.14,33.95,33.72,34.3,33.85,33.96,0.56,2.28
2018-02-14 00:00:00,33.84,33.77,34.14,33.95,34.2,33.8,34.02,-1.08,1.48
2018-02-15 00:00:00,34.15,33.84,33.77,34.14,33.94,33.66,33.66,0.21,0.34
2018-02-16 00:00:00,34.65,34.15,33.84,33.77,34.29,33.62,33.77,0.92,1.74
2018-02-19 00:00:00,34.71,34.65,34.15,33.84,34.68,34.06,34.14,1.46,2.02
2018-02-20 00:00:00,35.32,34.71,34.65,34.15,34.78,34.67,34.78,0.17,1.49
2018-02-21 00:00:00,36.39,35.32,34.71,34.65,35.35,35.25,35.25,1.76,4.09
2018-02-22 00:00:00,36.27,36.39,35.32,34.71,36.48,35.26,35.37,3.03,4.81
2018-02-23 00:00:00,37.3,36.27,36.39,35.32,36.75,36.05,36.32,-0.33,2.65
2018-02-26 00:00:00,38.96,37.3,36.27,36.39,37.56,36.18,36.24,2.84,6.3
2018-02-27 00:00:00,39.49,38.96,37.3,36.27,39.16,36.9,36.91,4.45,4.18
2018-02-28 00:00:00,39.3,39.49,38.96,37.3,39.65,38.19,39.05,1.36,3.55
2018-03-01 00:00:00,39.79,39.3,39.49,38.96,40.36,38.39,39.41,-0.48,5.09
2018-03-02 00:00:00,40.5,39.79,39.3,39.49,39.85,38.61,39.37,1.25,4.06
2018-03-05 00:00:00,40.24,40.5,39.79,39.3,40.58,39.6,39.8,1.78,2.53
2018-03-06 00:00:00,40.7,40.24,40.5,39.79,40.55,39.65,40.45,-0.64,3.51
2018-03-07 00:00:00,40.29,40.7,40.24,40.5,41.09,40.22,40.25,1.14,4.65
2018-03-08 00:00:00,40.64,40.29,40.7,40.24,40.78,39.84,40.65,-1.01,2.24
2018-03-09 00:00:00,40.91,40.64,40.29,40.7,40.76,40.24,40.26,0.87,0.94
2018-03-12 00:00:00,41.79,40.91,40.64,40.29,41.0,40.55,40.58,0.66,2.08
2018-03-13 00:00:00,43.05,41.79,40.91,40.64,41.89,40.52,40.9,2.15,1.47
2018-03-14 00:00:00,43.28,43.05,41.79,40.91,43.2,41.82,41.82,3.02,2.63
2018-03-15 00:00:00,42.71,43.28,43.05,41.79,43.29,42.9,43.1,0.53,0.66
2018-03-16 00:00:00,38.45,42.71,43.28,43.05,43.1,42.85,43.05,-1.32,0.35
2018-03-19 00:00:00,37.6,38.45,42.71,43.28,39.11,38.29,39.02,-9.97,2.96
2018-03-20 00:00:00,39.24,37.6,38.45,42.71,38.64,37.5,38.4,-2.21,3.52
2018-03-21 00:00:00,38.7,39.24,37.6,38.45,39.34,37.45,37.48,4.36,5.04
2018-03-22 00:00:00,38.02,38.7,39.24,37.6,39.95,38.65,39.3,-1.38,6.14
2018-03-23 00:00:00,37.76,38.02,38.7,39.24,39.2,37.87,38.65,-1.76,4.68
2018-03-26 00:00:00,37.97,37.76,38.02,38.7,38.34,37.6,37.9,-0.68,3.23
2018-03-27 00:00:00,37.84,37.97,37.76,38.02,38.26,37.2,37.65,0.56,2.6
2018-03-28 00:00:00,37.58,37.84,37.97,37.76,38.85,37.71,38.1,-0.34,2.56
2018-03-29 00:00:00,37.58,37.58,37.84,37.97,37.85,37.46,37.75,-0.69,1.34
2018-04-02 00:00:00,38.1,37.58,37.58,37.84,37.75,37.21,37.51,-0.69,2.39
2018-04-03 00:00:00,38.62,38.1,37.58,37.58,38.2,37.57,37.57,1.38,2.7
2018-04-04 00:00:00,39.12,38.62,38.1,37.58,38.67,37.91,38.15,1.36,2.87
2018-04-05 00:00:00,40.03,39.12,38.62,38.1,39.5,38.07,38.7,1.29,3.95
2018-04-06 00:00:00,40.64,40.03,39.12,38.62,40.1,39.15,39.16,2.33,5.47
2018-04-09 00:00:00,40.61,40.64,40.03,39.12,40.78,39.92,40.03,1.52,4.73
2018-04-10 00:00:00,40.02,40.61,40.64,40.03,40.78,40.25,40.61,-0.07,2.62
2018-04-11 00:00:00,38.71,40.02,40.61,40.64,40.8,39.95,40.63,-1.45,3.26
2018-04-12 00:00:00,38.95,38.71,40.02,40.61,40.09,38.66,40.09,-3.27,5.48
2018-04-13 00:00:00,38.88,38.95,38.71,40.02,39.15,38.58,38.79,0.62,2.1
2018-04-16 00:00:00,38.93,38.88,38.95,38.71,39.06,38.42,39.06,-0.18,1.88
2018-04-17 00:00:00,39.3,38.93,38.88,38.95,39.0,38.38,38.93,0.13,0.99
2018-04-18 00:00:00,38.86,39.3,38.93,38.88,40.0,38.9,38.92,0.95,1.44
2018-04-19 00:00:00,38.31,38.86,39.3,38.93,39.34,38.75,39.29,-1.12,1.48
2018-04-20 00:00:00,38.1,38.31,38.86,39.3,38.8,38.16,38.7,-1.42,2.43
2018-04-23 00:00:00,38.75,38.1,38.31,38.86,38.35,37.92,38.34,-0.55,2.87
2018-04-24 00:00:00,39.01,38.75,38.1,38.31,38.85,37.82,38.19,1.71,2.5
2018-04-25 00:00:00,39.87,39.01,38.75,38.1,39.45,38.44,38.82,0.67,3.08
2018-04-26 00:00:00,39.74,39.87,39.01,38.75,40.0,38.95,39.0,2.2,3.24
2018-04-27 00:00:00,39.64,39.74,39.87,39.01,40.0,39.5,39.87,-0.33,2.33
2018-04-30 00:00:00,40.09,39.64,39.74,39.87,39.85,39.37,39.78,-0.25,1.61
2018-05-02 00:00:00,41.21,40.09,39.64,39.74,40.25,39.69,39.75,1.14,1.6
2018-05-03 00:00:00,41.58,41.21,40.09,39.64,41.45,40.08,40.08,2.79,3.91
2018-05-04 00:00:00,41.24,41.58,41.21,40.09,41.65,41.05,41.34,0.9,2.59
2018-05-07 00:00:00,41.82,41.24,41.58,41.21,41.82,40.92,41.57,-0.82,2.69
2018-05-08 00:00:00,42.32,41.82,41.24,41.58,42.0,41.0,41.01,1.41,2.64
2018-05-09 00:00:00,42.5,42.32,41.82,41.24,42.48,41.81,41.9,1.2,2.26
2018-05-10 00:00:00,42.31,42.5,42.32,41.82,42.68,42.01,42.33,0.43,1.21
2018-05-11 00:00:00,41.92,42.31,42.5,42.32,42.65,42.25,42.5,-0.45,0.71
2018-05-14 00:00:00,42.56,41.92,42.31,42.5,42.4,41.8,42.25,-0.92,2.3
2018-05-15 00:00:00,42.27,42.56,41.92,42.31,42.6,41.81,41.81,1.53,1.87
2018-05-16 00:00:00,42.35,42.27,42.56,41.92,42.55,42.3,42.55,-0.68,0.38
2018-05-17 00:00:00,42.99,42.35,42.27,42.56,42.49,42.1,42.38,0.19,0.38
2018-05-18 00:00:00,43.82,42.99,42.35,42.27,42.7,42.7,42.7,1.51,0.1
2018-05-21 00:00:00,43.62,43.82,42.99,42.35,43.64,41.91,42.8,1.93,0.1
2018-05-22 00:00:00,43.62,43.62,43.82,42.99,43.65,43.0,43.5,-0.46,0.11
2018-05-23 00:00:00,43.35,43.62,43.62,43.82,43.65,42.8,43.65,-0.46,0.09
2018-05-24 00:00:00,43.57,43.35,43.62,43.62,43.58,43.1,43.57,-0.62,0.04
2018-05-25 00:00:00,43.53,43.57,43.35,43.62,43.65,43.4,43.65,0.51,0.03
2018-05-28 00:00:00,43.35,43.53,43.57,43.35,43.34,43.3,43.3,-0.09,0.02
2018-05-29 00:00:00,42.85,43.35,43.53,43.57,43.01,43.01,43.01,-0.41,0.02
2018-05-30 00:00:00,43.16,42.85,43.35,43.53,43.01,42.85,43.0,-1.15,0.02
2018-06-01 00:00:00,43.47,43.16,42.85,43.35,42.9,42.85,42.9,0.72,0.01
2018-06-04 00:00:00,43.37,43.47,43.16,42.85,43.95,43.05,43.95,0.72,0.03
2018-06-05 00:00:00,42.78,43.37,43.47,43.16,43.65,43.25,43.65,-0.23,0.01
2018-06-06 00:00:00,42.83,42.78,43.37,43.47,42.8,42.3,42.7,-1.36,0.06
2018-06-07 00:00:00,42.76,42.83,42.78,43.37,42.68,41.61,42.3,0.12,0.1
2018-06-08 00:00:00,42.06,42.76,42.83,42.78,42.5,41.65,41.65,-0.16,0.01
2018-06-11 00:00:00,41.33,42.06,42.76,42.83,42.0,42.0,42.0,-1.64,0.01
2018-06-12 00:00:00,39.84,41.33,42.06,42.76,42.0,41.35,41.35,-1.74,0.02
2018-06-13 00:00:00,39.05,39.84,41.33,42.06,41.45,40.05,41.45,-3.61,0.18
2018-06-14 00:00:00,38.7,39.05,39.84,41.33,39.0,38.2,38.83,-1.98,0.04
2018-06-15 00:00:00,38.88,38.7,39.05,39.84,39.0,38.5,39.0,-0.9,0.04
2018-06-18 00:00:00,39.03,38.88,38.7,39.05,38.9,38.7,38.7,0.47,0.01
2018-06-19 00:00:00,38.4,39.03,38.88,38.7,39.1,38.98,39.1,0.39,0.03
2018-06-20 00:00:00,37.5,38.4,39.03,38.88,38.6,38.4,38.5,-1.61,0.04
2018-06-21 00:00:00,37.32,37.5,38.4,39.03,37.52,37.4,37.5,-2.34,0.03
2018-06-22 00:00:00,37.41,37.32,37.5,38.4,37.32,36.5,36.5,-0.48,0.07
2018-06-25 00:00:00,36.95,37.41,37.32,37.5,37.5,37.5,37.5,0.24,0.07
2018-06-26 00:00:00,36.78,36.95,37.41,37.32,37.35,36.9,37.35,-1.23,0.01
2018-06-27 00:00:00,36.75,36.78,36.95,37.41,36.85,36.85,36.85,-0.46,0.01
2018-06-28 00:00:00,36.87,36.75,36.78,36.95,36.85,36.21,36.21,-0.08,0.02
2018-06-29 00:00:00,37.0,36.87,36.75,36.78,36.7,36.7,36.7,0.33,0.01
2018-07-02 00:00:00,36.85,37.0,36.87,36.75,37.1,36.8,36.95,0.35,0.01
2018-07-03 00:00:00,37.03,36.85,37.0,36.87,36.81,36.8,36.81,-0.41,0.04
2018-07-04 00:00:00,36.97,37.03,36.85,37.0,37.1,36.96,36.98,0.49,0.04
2018-07-05 00:00:00,36.61,36.97,37.03,36.85,36.8,36.8,36.8,-0.16,0.04
2018-07-06 00:00:00,37.35,36.61,36.97,37.03,36.62,36.1,36.6,-0.97,0.02
2018-07-10 00:00:00,36.56,37.35,36.61,36.97,37.11,36.35,36.36,2.02,0.05
2018-07-11 00:00:00,36.98,36.56,37.35,36.61,36.84,36.51,36.84,-2.12,0.01
2018-07-12 00:00:00,36.92,36.98,36.56,37.35,36.85,36.45,36.45,1.15,0.01
2018-07-13 00:00:00,36.95,36.92,36.98,36.56,37.04,36.7,37.04,-0.16,0.05
2018-07-16 00:00:00,38.15,36.95,36.92,36.98,37.1,37.0,37.1,0.08,0.02
2018-07-17 00:00:00,38.39,38.15,36.95,36.92,38.15,37.5,37.6,3.25,1.2
2018-07-18 00:00:00,38.9,38.39,38.15,36.95,38.41,37.99,38.0,0.63,3.03
2018-07-19 00:00:00,39.52,38.9,38.39,38.15,38.97,38.28,38.35,1.33,3.36
2018-07-20 00:00:00,38.9,39.52,38.9,38.39,39.59,38.93,38.94,1.59,2.85
2018-07-23 00:00:00,39.29,38.9,39.52,38.9,39.51,38.81,39.48,-1.57,4.32
2018-07-24 00:00:00,39.33,39.29,38.9,39.52,39.35,38.76,38.9,1.0,2.28
2018-07-25 00:00:00,39.78,39.33,39.29,38.9,39.4,39.0,39.25,0.1,3.15
2018-07-26 00:00:00,40.32,39.78,39.33,39.29,39.85,39.21,39.35,1.14,2.07
2018-07-27 00:00:00,40.72,40.32,39.78,39.33,40.45,39.7,39.72,1.36,2.7
2018-07-30 00:00:00,41.11,40.72,40.32,39.78,40.78,40.06,40.2,0.99,1.58
2018-07-31 00:00:00,41.1,41.11,40.72,40.32,41.16,40.6,40.76,0.96,2.06
2018-08-01 00:00:00,41.16,41.1,41.11,40.72,41.3,40.78,41.1,-0.02,2.18
2018-08-02 00:00:00,41.13,41.16,41.1,41.11,41.3,40.27,41.08,0.15,2.74
2018-08-03 00:00:00,41.41,41.13,41.16,41.1,41.3,40.9,41.15,-0.07,1.71
2018-08-06 00:00:00,41.53,41.41,41.13,41.16,41.48,40.81,41.05,0.68,3.19
2018-08-07 00:00:00,42.2,41.53,41.41,41.13,41.69,41.3,41.49,0.29,3.04
2018-08-08 00:00:00,42.21,42.2,41.53,41.41,42.28,41.4,41.4,1.61,3.8
2018-08-09 00:00:00,42.22,42.21,42.2,41.53,42.86,42.05,42.14,0.02,5.27
2018-08-10 00:00:00,41.57,42.22,42.21,42.2,42.64,41.86,42.25,0.02,3.76
