date,corn_br,corn_br_one_day_before,open_corn_br,max_corn_br,min_corn_br,vol_corn_br,var_corn_br,corn_usd,max_corn_usd,min_corn_usd,vol_corn_usd,var_corn_usd,dolar,max_dolar,min_dolar,var_dolar
12.02.2013,26.28,26.53,26.64,26.72,26.4,1.92,-0.67,416.5,417.25,410,14.98,0.3,2.3559,2.3583,2.3322,0.86
12.03.2013,26.44,26.28,26.51,26.63,26.3,0.9,-0.04,422,423,414.75,9.18,1.32,2.3758,2.3792,2.3483,0.84
12.04.2013,26.34,26.44,26.47,26.84,26.4,02.03,0.68,425.5,430,418,7.67,0.83,2.3914,2.3921,2.3628,0.66
12.05.2013,26.3,26.34,26.67,26.87,26.52,01.02,-0.04,422.75,426.25,420.5,2.39,-0.65,2.3612,2.396,2.3522,-1.26
12.06.2013,26.37,26.3,26.69,26.83,26.57,1.43,-0.15,424,425,419.5,02.08,0.3,2.3267,2.3757,2.3217,-1.46
12.09.2013,26.56,26.3,26.62,26.84,26.57,0.88,0.38,428.5,429,422.75,1.4,01.06,2.3197,2.3321,2.3148,-0.3
12.10.2013,26.36,26.56,26.71,26.86,26.35,2.33,-1.09,427.5,431.25,421.75,3.14,-0.23,2.309,2.3197,2.3042,-0.46
12.11.2013,26.32,26.36,26.44,26.58,26.2,1.88,-0.38,431.25,432,426,1.78,0.88,2.3413,2.344,2.306,1.4
12.12.2013,26.29,26.32,26.33,26.35,25.85,2.6,-1.56,428.25,431.75,424.25,1.68,-0.7,2.3327,2.3518,2.3247,-0.37
12.13.2013,26.26,26.29,25.9,25.99,25.71,0.85,-0.15,420.5,430,420.5,0.29,-1.81,2.33,2.3401,2.3265,-0.12
12.16.2013,26.25,26.29,25.93,26.08,25.77,0.86,0.58,423.25,426.5,420.5,114.42,0.65,2.3278,2.3353,2.3087,-0.09
12.17.2013,26.36,26.25,26,26.15,25.97,0.72,0.42,426.75,429,422,89.62,0.83,2.3194,2.3307,2.3137,-0.36
12.18.2013,26.42,26.36,26.09,26.45,26.09,1.96,01.03,425,429.75,423,81.54,-0.41,2.3262,2.3632,2.3147,0.29
12.19.2013,26.55,26.42,26.41,26.95,26.28,1.78,1.78,430.5,431,424.25,99.37,1.29,2.3535,2.362,2.3315,1.17
12.20.2013,26.68,26.55,26.91,27.22,26.91,1.15,0.78,433.25,434.25,427.5,92.62,0.64,2.3876,2.3892,2.3563,1.45
12.23.2013,26.69,26.55,27,27.32,26.91,0.4,0.11,434.25,436,431.75,65.97,0.23,2.3571,2.3876,2.3567,-1.28
12.26.2013,26.74,26.55,27.12,27.33,26.96,0.32,-0.37,426.25,433,426,72.95,-1.9,2.3518,2.3651,2.346,-0.22
12.27.2013,26.79,26.74,26.95,27.2,26.75,0.65,0.3,427.5,429,426,52.4,0.29,2.3384,2.3585,2.3347,-0.57
12.30.2013,26.54,26.74,27.03,27.45,26.81,0.56,0.63,423.5,426.75,423,60.44,-0.94,2.3621,2.3651,2.3258,01.01
01.02.2014,26.64,26.74,27.25,27.35,27.02,0.58,0.11,420.5,427.25,418.5,136.28,-0.21,2.3876,2.4096,2.3773,01.08
01.03.2014,27,26.64,27.3,27.75,27.3,0.67,1.54,423.5,424,417,110.19,0.71,2.3765,2.3891,2.368,-0.46
01.06.2014,27.29,26.64,27.72,28.37,27.7,1.23,1.77,427.75,428,423.5,96.64,1,2.3761,2.3857,2.3707,-0.02
01.07.2014,27.49,27.29,28.16,28.27,27.6,0.81,-1.88,426,430,425.25,124.44,-0.41,2.3725,2.3803,2.355,-0.15
01.08.2014,27.16,27.49,27.65,27.79,27.25,0.83,-1.16,417,427.75,414,221.23,-2.11,2.3967,2.4002,2.3677,01.02
01.09.2014,27.17,27.16,27.3,27.3,26.72,0.62,-1.83,412,416.75,408,228.11,-1.2,2.3904,2.4036,2.3887,-0.26
01.10.2014,27.17,27.17,26.84,27,26.8,0.36,0.56,432.75,433,406.25,365.58,05.04,2.3584,2.3972,2.3565,-1.34
01.13.2014,27.32,27.17,26.99,27.15,26.91,0.36,0.48,434.5,435.5,430.5,219.14,0.4,2.3598,2.3627,2.3382,0.06
01.14.2014,27.35,27.32,27.15,27.3,27.13,0.12,0.18,431.5,434,427.25,156.82,-0.69,2.3503,2.3682,2.3477,-0.4
01.15.2014,27.3,27.35,27.19,27.33,27.19,0.69,0.52,425.75,431.5,425.5,118.78,-1.33,2.3605,2.3605,2.3397,0.43
01.16.2014,27.07,27.3,27.1,27.38,27.1,1.56,-0.33,428,430,425,131.7,0.53,2.3636,2.3777,2.3439,0.13
01.17.2014,27.02,27.07,27.29,27.34,26.88,1.71,-0.95,424,428,422.25,95.49,-0.93,2.3426,2.3659,2.3392,-0.89
01.21.2014,26.65,26.81,26.76,26.79,26.3,2.26,-1.64,425,425.75,421,134.01,0.24,2.3575,2.3681,2.3408,0.57
01.22.2014,26.59,26.65,26.27,26.4,26.12,1.81,-0.65,426.25,429,424.5,114.79,0.29,2.3731,2.3773,2.3538,0.66
01.23.2014,26.47,26.59,26.15,26.28,25.95,2.12,0.38,429,431.25,425.75,157.78,0.65,2.3959,2.4057,2.3678,0.96
01.24.2014,26.04,26.47,26.2,26.38,26.15,1.68,0,429.5,430.25,425.5,126.82,0.12,2.3982,2.4328,2.3938,0.1
01.27.2014,26.16,26.47,26.2,26.25,25.83,2.22,-1.22,431.75,432.75,427,132.84,0.52,2.4215,2.4294,2.3905,0.97
01.28.2014,26.24,26.16,25.91,26.24,25.89,1.29,01.04,432,433.75,430.75,118.86,0.06,2.4263,2.43,2.4035,0.2
01.29.2014,26.22,26.24,26.17,26.91,26.14,3.3,2.33,427.5,431.75,427,147.43,-1.04,2.4352,2.4506,2.4223,0.37
01.30.2014,26.46,26.22,26.82,27.2,26.62,2.81,1.34,433.5,434.5,427.25,174.53,1.4,2.4118,2.444,2.4075,-0.96
01.31.2014,26.65,26.46,27.16,27.6,27.09,2.56,1.47,434,434.75,431.25,135.05,0.12,2.4127,2.4376,2.3909,0.04
02.03.2014,26.91,26.46,27.53,28.4,27.45,2.21,2.87,435.75,438.75,433.25,167.84,0.4,2.4402,2.4405,2.4,1.14
02.04.2014,27.41,26.91,28.3,28.95,28.2,1.37,02.01,441.75,442,434.5,179.8,1.38,2.4055,2.438,2.4047,-1.42
02.05.2014,28.06,27.41,28.89,29.6,28.8,1.83,2.11,443.25,444,439,169.91,0.34,2.3986,2.42,2.3925,-0.29
02.06.2014,28.52,28.06,29.55,29.93,29.25,1.99,-0.71,443,447.25,441.25,191.09,-0.06,2.3825,2.4137,2.3774,-0.67
02.07.2014,28.31,28.52,29.25,29.3,28.45,2.7,-0.95,444.25,445,440.5,171.62,0.28,2.3802,2.3937,2.3695,-0.1
02.10.2014,28.37,28.52,29.05,29.56,28.89,2.1,1.62,443,449,440,252.41,-0.28,2.409,2.4118,2.3808,1.21
02.11.2014,28.93,28.37,29.5,29.6,29.1,2.45,0.24,441.5,444,437.25,221.22,-0.34,2.4005,2.4181,2.3955,-0.35
02.12.2014,29.51,28.93,29.65,29.95,29.46,2.4,0.1,440,445.75,439.25,209.92,-0.34,2.4255,2.4271,2.3973,01.04
02.13.2014,29.7,29.51,29.69,30.44,29.66,3.23,2.67,440.5,442,439,174.15,0.11,2.3938,2.4341,2.3926,-1.31
02.14.2014,30.11,29.7,30.4,30.78,30.15,1.99,01.09,445.25,446,438,177.42,01.08,2.3891,2.3994,2.3788,-0.2
02.18.2014,30.96,30.13,31.74,32.15,31.35,0,01.07,449.5,450,444.5,140.68,0.95,2.3955,2.4016,2.3835,0.23
02.19.2014,31.76,30.96,32.25,33.69,32.25,0,4.99,453.75,455.25,448.25,243.33,0.95,2.3942,2.4127,2.3845,-0.05
02.20.2014,32.51,31.76,33.88,34.39,33.5,0,0.53,455.75,456.5,451,191.96,0.44,2.3704,2.3971,2.3628,-0.99
02.21.2014,33.13,32.51,33.81,34.25,33.45,0,-0.21,453,456.5,450.25,145.58,-0.6,2.3456,2.378,2.3417,-1.05
02.24.2014,33.15,32.51,33.79,34.48,33.7,0.82,1.8,451.5,452.75,445.5,141.75,-0.33,2.3392,2.3535,2.327,-0.27
02.25.2014,33.62,33.15,34.5,34.75,33.85,0,-1.02,455.75,456.25,448.25,123.59,0.94,2.3411,2.3449,2.3277,0.08
02.26.2014,33.74,33.62,33.94,34.29,33.65,0.4,-1,455.5,459,452,113.29,-0.05,2.3497,2.3571,2.3336,0.37
02.27.2014,33.68,33.74,33.7,33.81,33.1,1.1,-1.57,448,458,447,140.68,-1.65,2.322,2.3567,2.3178,-1.18
02.28.2014,33.95,33.68,33.22,33.22,32.56,1.21,-0.81,457.5,458.75,447.75,36.98,2.12,2.3384,2.3474,2.3181,0.71
03.05.2014,33.85,33.68,32.95,33.8,32.94,0.33,2.25,475.25,481,472.25,6.73,-0.31,2.3181,2.3408,2.3138,-0.99
03.06.2014,33.82,33.85,33.79,34.16,33.71,1.32,1.37,485.75,487.25,473.75,4.26,2.21,2.3232,2.325,2.2996,0.22
03.07.2014,34.03,33.82,34.13,34.15,33.7,0.53,-0.88,481,495,478,7.13,-0.98,2.3406,2.3498,2.3217,0.75
03.10.2014,34.16,33.82,33.94,34,33.5,0.55,-0.06,472,481.25,470.25,1.56,-1.87,2.3498,2.3567,2.3265,0.39
03.11.2014,34.11,34.16,33.78,33.97,33.75,0.32,0.3,478,480,468.25,1.33,1.27,2.3642,2.3687,2.3376,0.61
