"Data","Último","Abertura","Máxima","Mínima","Var%"
"30.12.2018","3,7155","3,8784","3,8969","3,7088","-4,27"
"23.12.2018","3,8813","3,9043","3,9461","3,8298","-0,58"
"16.12.2018","3,9040","3,9173","3,9285","3,8324","-0,33"
"09.12.2018","3,9171","3,9075","3,9454","3,8362","0,25"
"02.12.2018","3,9075","3,8663","3,9432","3,8147","1,05"
"25.11.2018","3,8669","3,8179","3,9447","3,8166","1,01"
"18.11.2018","3,8283","3,7466","3,8306","3,7420","2,27"
"11.11.2018","3,7435","3,7487","3,8313","3,7296","0,27"
"04.11.2018","3,7335","3,6967","3,7874","3,6909","0,99"
"28.10.2018","3,6968","3,6431","3,7445","3,5814","1,48"
"21.10.2018","3,6429","3,6943","3,7463","3,6395","-1,94"
"14.10.2018","3,7149","3,7569","3,7652","3,6648","-1,80"
"07.10.2018","3,7830","3,7276","3,7914","3,7008","-1,52"
"30.09.2018","3,8413","4,0502","4,0635","3,8220","-5,13"
"23.09.2018","4,0491","4,0656","4,1427","3,9676","-0,06"
"16.09.2018","4,0516","4,1741","4,2038","4,0278","-2,94"
"09.09.2018","4,1742","4,0670","4,2105","4,0514","2,82"
"02.09.2018","4,0597","4,0918","4,1908","4,0357","0,10"
"26.08.2018","4,0556","4,1063","4,2159","4,0478","-1,13"
"19.08.2018","4,1020","3,9139","4,1326","3,9139","4,87"
"12.08.2018","3,9116","3,8590","3,9537","3,8588","1,35"
"05.08.2018","3,8596","3,7054","3,8746","3,6909","4,09"
"29.07.2018","3,7080","3,7146","3,7825","3,6963","-0,09"
"22.07.2018","3,7114","3,7673","3,8040","3,6892","-1,50"
"15.07.2018","3,7681","3,8516","3,8927","3,7584","-2,17"
"08.07.2018","3,8518","3,8643","3,9021","3,7931","-0,28"
"01.07.2018","3,8628","3,8782","3,9529","3,8594","-0,37"
"24.06.2018","3,8771","3,7880","3,8801","3,7610","2,41"
"17.06.2018","3,7860","3,7308","3,8041","3,7064","1,51"
"10.06.2018","3,7296","3,7094","3,8155","3,6677","0,54"
"03.06.2018","3,7094","3,7660","3,9674","3,6928","-1,43"
"27.05.2018","3,7633","3,6515","3,7706","3,6513","3,04"
"20.05.2018","3,6524","3,7378","3,7388","3,6166","-2,26"
"13.05.2018","3,7370","3,5991","3,7772","3,5728","3,81"
"06.05.2018","3,5999","3,5314","3,6130","3,5314","1,97"
"29.04.2018","3,5303","3,4575","3,5680","3,4575","2,13"
"22.04.2018","3,4568","3,4145","3,5162","3,4145","1,28"
"15.04.2018","3,4130","3,4253","3,4364","3,3733","-0,27"
"08.04.2018","3,4223","3,3689","3,4360","3,3632","1,56"
"01.04.2018","3,3697","3,3053","3,3807","3,2961","1,95"
"25.03.2018","3,3051","3,3138","3,3464","3,2922","-0,22"
"18.03.2018","3,3123","3,2784","3,3190","3,2630","0,95"
