"Data","Último","Abertura","Máxima","Mínima","Vol.","Var"
"09/10/2020","70,88","70,81","70,84","70,58","0,13","-0,64"
"08/10/2020","71,34","69,70","71,44","69,63","0,32","2,80"
"07/10/2020","69,40","68,41","69,85","68,41","0,19","0,95"
"06/10/2020","68,75","68,68","68,87","68,68","5,24","1,25"
"05/10/2020","67,90","66,90","67,96","66,90","0,14","1,42"
"02/10/2020","66,95","66,88","66,95","66,80","0,21","0,33"
"01/10/2020","66,73","66,34","67,07","66,00","0,50","0,45"
"30/09/2020","66,43","65,79","66,83","65,44","0,43","1,34"
"29/09/2020","65,55","64,75","65,60","64,31","0,23","0,68"
"28/09/2020","65,11","63,58","65,27","63,35","0,20","2,54"
"25/09/2020","63,50","63,59","63,60","63,47","0,15","2,09"
"24/09/2020","62,20","63,00","63,26","61,91","0,29","-1,03"
"23/09/2020","62,85","61,71","63,00","61,71","0,12","1,86"
"22/09/2020","61,70","60,40","61,73","60,26","0,49","2,37"
"21/09/2020","60,27","60,17","60,48","59,76","0,11","0,45"
"18/09/2020","60,00","59,75","60,00","59,75","0,09","1,68"
"17/09/2020","59,01","60,00","60,24","58,84","0,34","-0,99"
"16/09/2020","59,60","58,50","59,91","58,11","0,24","0,68"
"15/09/2020","59,20","59,36","59,48","59,20","0,11","-0,08"
"14/09/2020","59,25","59,10","59,39","59,00","0,17","0,94"
"11/09/2020","58,70","58,86","58,86","58,70","0,08","1,03"
"10/09/2020","58,10","57,50","58,15","57,20","0,22","0,96"
"09/09/2020","57,55","58,44","58,44","57,13","0,04","-1,96"
"08/09/2020","58,70","58,50","59,50","57,91","0,37","2,09"
"04/09/2020","57,50","57,60","57,60","57,15","0,04","2,33"
"03/09/2020","56,19","57,20","57,94","55,65","0,13","-1,77"
"02/09/2020","57,20","59,00","59,00","56,95","0,16","-3,38"
"01/09/2020","59,20","61,00","61,01","58,92","0,16","-2,93"
"31/08/2020","60,99","60,00","61,05","59,82","0,19","2,37"
