"Date","Price","Open","High","Low","Vol.K","Change%"
"Dec 30, 2018","39.50","39.58","39.89","38.91","2.34","0.00"
"Dec 23, 2018","39.50","39.70","39.90","39.30","0.92","-0.25"
"Dec 16, 2018","39.60","37.76","39.90","37.62","7.41","5.66"
"Dec 09, 2018","37.48","37.82","38.25","37.39","3.30","-0.32"
"Dec 02, 2018","37.60","36.96","37.98","36.70","5.76","2.20"
"Nov 25, 2018","36.79","38.00","38.45","36.50","7.40","-3.29"
"Nov 18, 2018","38.04","37.89","39.14","37.55","5.39","3.48"
"Nov 11, 2018","36.76","36.50","36.94","36.33","2.12","0.71"
"Nov 04, 2018","36.50","35.34","36.75","35.02","5.43","3.60"
"Oct 28, 2018","35.23","34.99","35.60","34.20","6.12","0.83"
"Oct 21, 2018","34.94","35.50","35.58","34.69","5.97","-1.52"
"Oct 14, 2018","35.48","36.91","37.44","35.10","7.18","-3.87"
"Oct 07, 2018","36.91","38.68","38.87","36.25","9.76","-4.40"
"Sep 30, 2018","38.61","39.87","40.39","38.44","9.50","-3.04"
"Sep 23, 2018","39.82","40.02","40.50","39.25","8.33","-0.62"
"Sep 16, 2018","40.07","40.65","41.03","39.40","9.85","-1.09"
"Sep 09, 2018","40.51","40.50","40.79","39.82","5.87","-0.07"
"Sep 02, 2018","40.54","40.60","41.05","40.25","4.74","-0.07"
"Aug 26, 2018","40.57","41.90","41.95","40.25","8.28","-3.31"
"Aug 19, 2018","41.96","41.87","42.30","41.40","8.25","0.19"
"Aug 12, 2018","41.88","41.52","41.96","40.80","11.63","0.75"
"Aug 05, 2018","41.57","41.49","42.86","41.30","19.43","0.39"
"Jul 29, 2018","41.41","40.76","41.48","40.27","11.88","1.69"
"Jul 22, 2018","40.72","38.90","40.78","38.76","11.78","4.68"
"Jul 15, 2018","38.90","38.00","39.59","37.99","13.58","5.28"
"Jul 08, 2018","36.95","36.84","37.10","36.45","0.08","-1.07"
"Jul 01, 2018","37.35","36.81","37.11","36.10","0.15","0.95"
"Jun 24, 2018","37.00","37.35","37.35","36.21","0.05","-1.10"
"Jun 17, 2018","37.41","39.10","39.10","36.50","0.16","-3.78"
"Jun 10, 2018","38.88","41.35","42.00","38.20","0.25","-7.56"
"Jun 03, 2018","42.06","43.65","43.65","41.61","0.19","-3.24"
"May 27, 2018","43.47","43.01","43.95","42.85","0.06","-0.14"
"May 20, 2018","43.53","43.50","43.65","42.80","0.29","-0.66"
"May 13, 2018","43.82","41.81","43.64","41.81","2.52","4.53"
"May 06, 2018","41.92","41.01","42.68","41.00","9.12","1.65"
"Apr 29, 2018","41.24","39.75","41.82","39.69","10.80","4.04"
"Apr 22, 2018","39.64","38.19","40.00","37.82","12.76","4.04"
"Apr 15, 2018","38.10","38.93","40.00","37.92","9.22","-2.01"
"Apr 08, 2018","38.88","40.61","40.80","38.42","15.35","-4.33"
"Apr 01, 2018","40.64","37.57","40.78","37.57","19.71","8.14"
"Mar 25, 2018","37.58","37.65","38.85","37.20","8.90","-0.48"
"Mar 18, 2018","37.76","38.40","39.95","37.45","22.62","-1.79"
"Mar 11, 2018","38.45","40.90","43.29","38.29","8.06","-6.01"
"Mar 04, 2018","40.91","40.45","41.09","39.65","13.42","1.01"
"Feb 25, 2018","40.50","36.91","40.58","36.90","19.41","8.58"
"Feb 18, 2018","37.30","34.78","37.56","34.67","19.33","7.65"
"Feb 11, 2018","34.65","33.66","34.68","33.62","4.11","2.61"
"Feb 04, 2018","33.77","33.29","34.30","33.21","9.56","1.53"
"Jan 28, 2018","33.26","32.62","33.45","32.61","6.86","1.87"
"Jan 21, 2018","32.65","32.85","33.33","32.54","5.51","-0.61"
"Jan 14, 2018","32.85","31.76","33.04","31.68","9.35","2.78"
"Jan 07, 2018","31.96","32.76","33.00","31.75","6.56","-2.86"
"Dec 31, 2017","32.90","33.45","33.50","32.56","3.03","-1.50"
"Dec 24, 2017","33.40","32.87","33.64","32.85","1.42","1.00"
"Dec 17, 2017","33.07","33.20","33.59","32.50","5.26","-0.42"
"Dec 10, 2017","33.21","32.45","33.30","32.20","5.72","2.47"
"Dec 03, 2017","32.41","32.20","32.75","32.05","11.24","0.75"
"Nov 26, 2017","32.17","31.56","32.35","31.19","12.22","2.06"
"Nov 19, 2017","31.52","32.43","32.60","31.41","15.93","-2.75"
"Nov 12, 2017","32.41","32.20","32.90","32.15","7.96","1.31"
"Nov 05, 2017","31.99","32.70","32.73","31.39","6.10","-2.14"
"Oct 29, 2017","32.69","31.67","32.72","31.64","7.20","3.29"
"Oct 22, 2017","31.65","31.46","32.32","31.35","7.40","0.89"
"Oct 15, 2017","31.37","32.80","33.09","31.10","11.37","-4.07"
"Oct 08, 2017","32.70","31.67","33.00","31.49","8.64","3.48"
"Oct 01, 2017","31.60","30.65","31.68","30.45","12.96","3.17"
"Sep 24, 2017","30.63","31.36","31.59","30.04","14.27","-2.45"
"Sep 17, 2017","31.40","30.80","32.60","30.44","11.60","9.37"
"Sep 10, 2017","28.71","28.27","28.73","28.00","11.89","1.77"
"Sep 03, 2017","28.21","27.60","28.50","27.43","11.03","2.03"
"Aug 27, 2017","27.65","27.59","28.07","26.96","12.32","0.14"
"Aug 20, 2017","27.61","28.73","29.10","27.40","8.19","-3.56"
"Aug 13, 2017","28.63","27.20","28.83","27.15","14.11","5.49"
"Aug 06, 2017","27.14","26.19","27.30","26.15","14.42","3.75"
"Jul 30, 2017","26.16","25.91","26.47","25.61","11.65","0.15"
"Jul 23, 2017","26.12","26.03","26.27","25.80","8.21","-0.65"
"Jul 16, 2017","26.29","26.37","27.09","26.15","9.37","-1.54"
"Jul 09, 2017","26.70","26.50","27.00","26.20","0.08","5.53"
"Jul 02, 2017","25.30","25.10","26.39","25.10","1.36","-0.98"
"Jun 25, 2017","25.55","26.11","26.11","25.25","0.35","-1.73"
"Jun 18, 2017","26.00","26.40","26.47","26.11","0.26","-1.52"
"Jun 11, 2017","26.40","26.52","26.60","26.20","0.17","-1.68"
"Jun 04, 2017","26.85","26.01","26.85","26.01","0.10","2.44"
"May 28, 2017","26.21","26.82","26.82","26.00","0.81","-4.79"
"May 21, 2017","27.53","27.53","27.53","27.53","-","-2.86"
"May 14, 2017","28.34","28.09","28.10","28.01","0.09","1.40"
"May 07, 2017","27.95","28.20","28.20","27.60","3.06","-0.78"
"Apr 30, 2017","28.17","28.16","28.39","27.85","4.03","0.18"
"Apr 23, 2017","28.12","28.21","28.68","28.00","6.39","0.29"
"Apr 16, 2017","28.04","27.46","28.66","27.41","8.42","3.09"
"Apr 09, 2017","27.20","27.30","27.47","26.60","6.61","0.41"
"Apr 02, 2017","27.09","28.67","28.75","26.90","9.65","-5.05"
"Mar 26, 2017","28.53","27.90","29.20","27.74","12.06","2.48"
"Mar 19, 2017","27.84","30.21","30.22","27.80","11.81","-8.00"
"Mar 12, 2017","30.26","35.13","35.22","30.16","6.94","-13.81"
"Mar 05, 2017","35.11","35.80","35.95","34.75","4.38","-0.99"
"Feb 26, 2017","35.46","34.75","35.68","34.66","4.49","2.63"
"Feb 19, 2017","34.55","34.34","34.79","33.66","7.65","1.23"
"Feb 12, 2017","34.13","35.30","35.46","34.00","10.61","-2.51"
"Feb 05, 2017","35.01","34.30","35.30","33.80","8.71","1.77"
"Jan 29, 2017","34.40","35.06","35.40","33.85","9.68","-2.16"
"Jan 22, 2017","35.16","34.50","36.05","34.39","6.91","1.88"
"Jan 15, 2017","34.51","34.45","36.12","34.28","9.20","0.09"
"Jan 08, 2017","34.48","36.55","36.55","34.16","5.43","-5.53"
"Jan 01, 2017","36.50","37.92","38.39","36.50","5.81","-3.77"
"Dec 25, 2016","37.93","38.08","38.59","37.72","2.21","-0.26"
"Dec 18, 2016","38.03","38.86","39.55","37.85","4.65","-2.06"
"Dec 11, 2016","38.83","38.45","39.48","38.02","6.28","0.86"
"Dec 04, 2016","38.50","38.55","39.20","37.75","7.66","0.31"
"Nov 27, 2016","38.38","37.50","38.95","36.91","7.57","2.10"
"Nov 20, 2016","37.59","37.75","38.15","37.20","5.67","-0.53"
"Nov 13, 2016","37.79","39.25","39.80","37.55","4.24","-3.60"
"Nov 06, 2016","39.20","40.15","40.28","38.85","4.16","-2.37"
"Oct 30, 2016","40.15","40.96","41.78","39.98","5.03","-2.41"
"Oct 23, 2016","41.14","40.20","41.21","38.75","8.89","2.39"
"Oct 16, 2016","40.18","43.25","43.33","40.01","8.81","-7.18"
"Oct 09, 2016","43.29","42.85","43.75","42.30","3.69","0.70"
"Oct 02, 2016","42.99","42.80","44.40","42.72","8.09","0.58"
"Sep 25, 2016","42.74","40.30","43.32","39.90","10.62","6.05"
"Sep 18, 2016","40.30","41.81","42.38","40.00","5.71","-4.09"
"Sep 11, 2016","42.02","41.85","42.70","41.55","3.85","0.72"
"Sep 04, 2016","41.72","43.38","43.89","41.10","4.33","-0.78"
"Aug 28, 2016","42.05","41.50","42.05","39.80","6.24","1.37"
"Aug 21, 2016","41.48","44.01","44.40","40.95","7.13","-5.36"
"Aug 14, 2016","43.83","43.44","45.05","43.21","6.91","0.90"
"Aug 07, 2016","43.44","44.92","46.00","42.91","11.60","-3.49"
"Jul 31, 2016","45.01","47.40","47.99","44.80","12.89","-4.88"
"Jul 24, 2016","47.32","46.80","48.99","46.50","16.41","1.11"
"Jul 17, 2016","46.80","45.75","47.58","45.60","21.52","8.38"
"Jul 10, 2016","43.18","43.00","43.17","41.81","3.53","0.77"
"Jul 03, 2016","42.85","39.45","42.90","39.40","3.74","8.67"
"Jun 26, 2016","39.43","40.80","41.75","38.76","2.84","-3.31"
"Jun 19, 2016","40.78","46.00","46.15","40.31","4.81","-11.25"
"Jun 12, 2016","45.95","46.75","48.00","45.30","4.86","-2.07"
"Jun 05, 2016","46.92","45.15","47.66","45.15","2.36","3.46"
"May 29, 2016","45.35","46.10","46.35","45.05","2.85","-1.73"
"May 22, 2016","46.15","47.88","47.88","44.05","1.69","-3.67"
"May 15, 2016","47.91","51.50","51.80","36.50","2.38","-6.86"
"May 08, 2016","51.44","51.25","51.46","50.50","1.39","0.76"
"May 01, 2016","51.05","49.80","51.27","49.33","2.43","2.51"
"Apr 24, 2016","49.80","48.71","50.14","48.00","2.52","2.17"
"Apr 17, 2016","48.74","47.25","49.46","47.10","3.37","2.83"
"Apr 10, 2016","47.40","46.85","47.79","46.07","5.90","1.72"
"Apr 03, 2016","46.60","45.13","46.84","45.05","7.10","3.26"
"Mar 27, 2016","45.13","46.00","46.59","44.56","8.57","-1.66"
"Mar 20, 2016","45.89","43.17","46.67","43.01","10.54","5.79"
"Mar 13, 2016","43.38","48.40","48.40","43.26","6.01","-10.65"
"Mar 06, 2016","48.55","44.90","48.89","44.80","2.32","7.67"
"Feb 28, 2016","45.09","43.76","45.69","43.55","3.14","3.11"
"Feb 21, 2016","43.73","42.50","43.93","42.00","4.98","3.02"
"Feb 14, 2016","42.45","42.20","42.59","41.60","4.52","1.00"
"Feb 07, 2016","42.03","41.00","42.07","40.11","4.51","2.34"
"Jan 31, 2016","41.07","39.85","41.50","39.61","4.75","3.19"
"Jan 24, 2016","39.80","40.15","40.37","39.53","4.07","-1.00"
"Jan 17, 2016","40.20","41.50","41.60","40.11","4.88","-6.79"
"Jan 10, 2016","43.13","40.01","43.40","40.00","3.76","7.96"
"Jan 03, 2016","39.95","37.14","40.29","37.13","3.91","7.25"
"Dec 27, 2015","37.25","36.95","37.29","36.39","1.14","1.44"
"Dec 20, 2015","36.72","37.10","37.36","36.65","0.79","-0.30"
