"Data","Último","Abertura","Máxima","Mínima","Vol.","Var"
"30.12.2018","383,00","375,50","383,50","372,75","475,48","2,00"
"23.12.2018","375,50","378,25","379,25","372,50","337,40","-0,79"
"16.12.2018","378,50","384,25","386,50","374,75","680,97","0,46"
"09.12.2018","376,75","374,25","379,00","372,75","4,25","0,74"
"02.12.2018","374,00","372,75","376,00","369,25","17,14","2,05"
"25.11.2018","366,50","359,50","366,75","355,25","1,01000","2,09"
"18.11.2018","359,00","364,75","366,25","358,75","684,51","-1,58"
"11.11.2018","364,75","369,00","372,50","363,25","839,76","-1,35"
"04.11.2018","369,75","371,00","379,00","366,00","1000,28","-0,40"
"28.10.2018","371,25","368,00","373,00","362,50","990,69","0,95"
"21.10.2018","367,75","365,50","372,50","360,50","874,28","0,20"
"14.10.2018","367,00","373,00","378,50","366,00","822,89","-1,81"
"07.10.2018","373,75","368,50","374,00","360,25","781,56","1,49"
"30.09.2018","368,25","356,75","369,50","356,50","895,44","3,37"
"23.09.2018","356,25","357,25","366,75","354,50","825,27","-0,28"
"16.09.2018","357,25","351,00","357,75","342,50","918,34","6,01"
"09.09.2018","337,00","353,25","357,25","337,00","2,15","-4,87"
"02.09.2018","354,25","351,50","356,00","347,25","11,24","0,93"
"26.08.2018","351,00","348,50","352,00","340,25","535,40","0,72"
"19.08.2018","348,50","365,25","366,00","346,25","558,78","-4,32"
"12.08.2018","364,25","357,50","367,75","352,25","544,25","1,82"
"05.08.2018","357,75","370,00","373,75","357,00","702,05","-3,25"
"29.07.2018","369,75","364,00","374,25","363,50","628,39","2,14"
"22.07.2018","362,00","356,00","365,75","351,50","582,47","1,90"
"15.07.2018","355,25","340,00","355,75","338,75","428,29","7,57"
"08.07.2018","330,25","346,00","348,50","329,75","8,33","-6,11"
"01.07.2018","351,75","352,25","352,25","337,00","17,09","0,43"
"24.06.2018","350,25","358,50","359,50","344,50","756,99","-1,96"
"17.06.2018","357,25","359,50","362,00","338,75","1000,02","-1,11"
"10.06.2018","361,25","376,50","379,75","355,25","1000,49","-4,37"
"03.06.2018","377,75","389,75","389,75","373,50","1000,18","-3,51"
"27.05.2018","391,50","408,75","410,00","390,75","903,63","-3,57"
"20.05.2018","406,00","405,50","412,25","401,00","877,02","0,87"
"13.05.2018","402,50","388,50","404,75","387,50","692,56","3,27"
"06.05.2018","389,75","397,25","399,75","389,75","6,00","-2,26"
"29.04.2018","398,75","390,75","400,00","390,50","33,42","2,37"
"22.04.2018","389,50","376,50","390,50","376,25","712,73","3,45"
"15.04.2018","376,50","385,00","386,25","376,25","828,03","-2,52"
"08.04.2018","386,25","389,75","392,50","385,00","1000,08","-0,58"
"01.04.2018","388,50","389,25","392,50","372,00","1000,36","0,19"
