date,corn_br,RL - All collums,
2013-01-02 00:00:00,"34,12","34,20",
2013-01-03 00:00:00,"33,88","34,02","43,5905652"
2013-01-04 00:00:00,"33,7","33,78","43,32158376"
2013-01-07 00:00:00,"33,54","33,78","-37,27425591"
2013-01-08 00:00:00,"33,38","33,44","42,90363433"
2013-01-09 00:00:00,"33,16","33,28","42,95352854"
2013-01-10 00:00:00,"32,94","33,06","43,06264919"
2013-01-11 00:00:00,"32,68","32,84","42,93633812"
2013-01-14 00:00:00,"32,68","32,84","-73,55328538"
2013-01-15 00:00:00,"32,45","32,58","43,16357166"
2013-01-16 00:00:00,"32,42","32,36","42,66667741"
2013-01-17 00:00:00,"32,58","32,33","42,53646285"
2013-01-18 00:00:00,"32,6","32,48","42,78075494"
2013-01-22 00:00:00,"32,86","32,28","145,9560444"
2013-01-23 00:00:00,"32,73","32,76","43,12654042"
2013-01-24 00:00:00,"32,5","32,63","43,21750852"
2013-01-25 00:00:00,"32,19","32,40","42,79079433"
2013-01-28 00:00:00,"32,03","32,40","-95,40918115"
2013-01-29 00:00:00,"31,97","31,93","43,74675847"
2013-01-30 00:00:00,"31,9","31,87","43,82610274"
2013-01-31 00:00:00,"31,91","31,80","43,75481364"
2013-02-01 00:00:00,"31,91","31,80","50,99368472"
2013-02-04 00:00:00,"31,84","31,80","50,69081844"
2013-02-05 00:00:00,"32,1","31,73","50,7820302"
2013-02-06 00:00:00,"32,27","31,99","50,76737211"
2013-02-07 00:00:00,"32,53","32,16","51,36009959"
2013-02-08 00:00:00,"32,61","32,42","51,46988863"
2013-02-13 00:00:00,"32,87","32,42","87,31403777"
2013-02-14 00:00:00,"32,8","32,75","51,97581623"
2013-02-15 00:00:00,"32,34","32,69","51,66403017"
2013-02-19 00:00:00,"32,13","32,19","69,30305956"
2013-02-20 00:00:00,"32,01","32,02","51,02144372"
2013-02-21 00:00:00,"32,25","31,90","50,17891405"
2013-02-22 00:00:00,"32,34","32,14","50,52111257"
2013-02-25 00:00:00,"32,45","32,14","90,80781982"
2013-02-26 00:00:00,"32,51","32,34","50,95349542"
2013-02-27 00:00:00,"32,53","32,40","51,45745851"
2013-02-28 00:00:00,"32,38","32,42","51,57624968"
2013-03-01 00:00:00,"32,23","32,27","51,54712806"
2013-03-04 00:00:00,"32,35","32,26","-15,73596091"
2013-03-05 00:00:00,"32,19","32,23","52,19296648"
2013-03-06 00:00:00,"32,07","32,08","51,04007026"
2013-03-07 00:00:00,"31,85","31,96","51,28774577"
2013-03-08 00:00:00,"31,69","31,73","51,89031053"
2013-03-11 00:00:00,"31,67","31,73","-20,19057595"
2013-03-12 00:00:00,"31,21","31,56","51,51580532"
2013-03-13 00:00:00,"31,13","31,10","50,65384183"
2013-03-14 00:00:00,"30,69","31,02","50,30023921"
2013-03-15 00:00:00,"30,69","30,58","48,90227207"
2013-03-18 00:00:00,"30,37","30,58","48,98518853"
2013-03-19 00:00:00,"30,16","30,26","48,69528796"
2013-03-20 00:00:00,"29,89","30,05","48,38056299"
2013-03-21 00:00:00,"29,74","29,80","41,70338495"
2013-03-22 00:00:00,"29,5","29,65","41,26069514"
2013-03-25 00:00:00,"29,46","29,64","-60,84810906"
2013-03-26 00:00:00,"29,26","29,36","46,51915394"
2013-03-27 00:00:00,"29,07","29,16","46,5862963"
2013-03-28 00:00:00,"29,07","28,97","44,7489657"
2013-04-01 00:00:00,"28,46","28,99","35,30335465"
2013-04-02 00:00:00,"28,22","28,38","34,44829859"
2013-04-03 00:00:00,"28,07","28,14","33,97861592"
2013-04-04 00:00:00,"27,6","28,00","33,74574546"
2013-04-05 00:00:00,"27,59","27,52","33,90424202"
2013-04-08 00:00:00,"27,78","27,52","29,3538865"
2013-04-09 00:00:00,"27,28","27,70","34,77089631"
2013-04-10 00:00:00,"27,01","27,20","34,42902941"
2013-04-11 00:00:00,"26,8","26,93","34,14140633"
2013-04-12 00:00:00,"26,71","26,72","34,19987434"
2013-04-15 00:00:00,"26,48","26,74","-13,70145507"
2013-04-16 00:00:00,"26,15","26,41","33,36950268"
2013-04-17 00:00:00,"25,8","26,09","26,31787213"
2013-04-18 00:00:00,"25,67","25,73","30,88685909"
2013-04-19 00:00:00,"25,73","25,60","31,17650727"
2013-04-22 00:00:00,"25,51","25,60","57,66569968"
2013-04-23 00:00:00,"25,11","25,44","30,11477817"
2013-04-24 00:00:00,"25,22","25,04","30,01246866"
2013-04-25 00:00:00,"25,14","25,17","24,54358996"
2013-04-26 00:00:00,"24,91","25,07","30,5598644"
2013-04-29 00:00:00,"24,79","25,08","-77,77237096"
2013-04-30 00:00:00,"24,91","24,73","25,11230723"
2013-05-02 00:00:00,"25,1","24,77","62,18879171"
2013-05-03 00:00:00,"25,28","25,08","8,698797892"
2013-05-06 00:00:00,"25,28","25,08","89,04704363"
2013-05-07 00:00:00,"25,49","25,26","8,279598658"
2013-05-08 00:00:00,"25,5","25,47","8,59808677"
2013-05-09 00:00:00,"25,52","25,47","14,7346978"
2013-05-10 00:00:00,"25,65","25,49","14,36091056"
2013-05-13 00:00:00,"25,72","25,50","68,40114028"
2013-05-14 00:00:00,"25,86","25,69","15,21235791"
2013-05-15 00:00:00,"26,14","25,83","13,61282475"
2013-05-16 00:00:00,"26,16","26,11","13,5993091"
2013-05-17 00:00:00,"26,33","26,13","13,71390427"
